GEMEINDE-SCHLUESSEL;ART;NAME;PLZ;ORT;AMTS-SCHLUESSEL;AMT-NAME
12 0 67 180 01;Gemeinde;Groß Lindow;15295;Groß Lindow;12 0 67 000 01;Brieskow-Finkenheerd
12 0 67 205 08;Gemeinde;Grunow-Dammendorf;15299;Grunow-Dammendorf;12 0 67 000 08;Schlaubetal
12 0 67 237 06;Gemeinde;Jacobsdorf;15236;Jacobsdorf;12 0 67 000 06;Odervorland
12 0 67 288 07;Gemeinde;Langewahl;15518;Langewahl;12 0 67 000 07;Scharmützelsee
12 0 67 292 05;Gemeinde;Lawitz;15898;Lawitz;12 0 67 000 05;Neuzelle
12 0 67 324 08;Gemeinde;Mixdorf;15299;Mixdorf;12 0 67 000 08;Schlaubetal
12 0 67 336 08;Stadt;Müllrose;15299;Müllrose;12 0 67 000 08;Schlaubetal
12 0 67 338 05;Gemeinde;Neißemünde;15898;Neißemünde;12 0 67 000 05;Neuzelle
12 0 67 357 05;Gemeinde;Neuzelle;15898;Neuzelle;12 0 67 000 05;Neuzelle
12 0 67 397 08;Gemeinde;Ragow-Merz;15848;Ragow-Merz;12 0 67 000 08;Schlaubetal
12 0 67 408 09;Gemeinde;Rauen;15518;Rauen;12 0 67 000 09;Spreenhagen
12 0 67 413 07;Gemeinde;Reichenwalde;15526;Reichenwalde;12 0 67 000 07;Scharmützelsee
12 0 67 438 08;Gemeinde;Schlaubetal;15890;Schlaubetal;12 0 67 000 08;Schlaubetal
12 0 67 458 08;Gemeinde;Siehdichum;15890;Siehdichum;12 0 67 000 08;Schlaubetal
12 0 67 469 09;Gemeinde;Spreenhagen;15528;Spreenhagen;12 0 67 000 09;Spreenhagen
12 0 67 473 06;Gemeinde;Steinhöfel;15518;Steinhöfel;12 0 67 000 06;Odervorland
12 0 67 508 01;Gemeinde;Vogelsang;15890;Vogelsang;12 0 67 000 01;Brieskow-Finkenheerd
12 0 67 520 07;Gemeinde;Wendisch Rietz;15864;Wendisch Rietz;12 0 67 000 07;Scharmützelsee
12 0 67 528 01;Gemeinde;Wiesenau;15295;Wiesenau;12 0 67 000 01;Brieskow-Finkenheerd
12 0 67 552 01;Gemeinde;Ziltendorf;15295;Ziltendorf;12 0 67 000 01;Brieskow-Finkenheerd
12 0 68 052 05;Gemeinde;Breddin;16845;Breddin;12 0 68 000 05;Neustadt (Dosse)
12 0 68 072 07;Gemeinde;Dabergotz;16818;Dabergotz;12 0 68 000 07;Temnitz
12 0 68 109 05;Gemeinde;Dreetz;16845;Dreetz;12 0 68 000 05;Neustadt (Dosse)
12 0 68 188 04;Gemeinde;Herzberg (Mark);16835;Herzberg (Mark);12 0 68 000 04;Lindow (Mark)
12 0 68 280 04;Stadt;Lindow (Mark);16835;Lindow (Mark);12 0 68 000 04;Lindow (Mark)
12 0 68 306 07;Gemeinde;Märkisch Linden;16818;Märkisch Linden;12 0 68 000 07;Temnitz
12 0 68 324 05;Stadt;Neustadt (Dosse);16845;Neustadt (Dosse);12 0 68 000 05;Neustadt (Dosse)
12 0 68 372 04;Gemeinde;Rüthnick;16835;Rüthnick;12 0 68 000 04;Lindow (Mark)
12 0 68 409 05;Gemeinde;Sieversdorf-Hohenofen;16845;Sieversdorf-Hohenofen;12 0 68 000 05;Neustadt (Dosse)
12 0 68 413 07;Gemeinde;Storbeck-Frankendorf;16818;Storbeck-Frankendorf;12 0 68 000 07;Temnitz
12 0 68 417 05;Gemeinde;Stüdenitz-Schönermark;16845;Stüdenitz-Schönermark;12 0 68 000 05;Neustadt (Dosse)
12 0 68 425 07;Gemeinde;Temnitzquell;16818;Temnitzquell;12 0 68 000 07;Temnitz
12 0 68 426 07;Gemeinde;Temnitztal;16845;Temnitztal;12 0 68 000 07;Temnitz
12 0 68 437 04;Gemeinde;Vielitzsee;16835;Vielitzsee;12 0 68 000 04;Lindow (Mark)
12 0 68 452 07;Gemeinde;Walsleben;16818;Walsleben;12 0 68 000 07;Temnitz
12 0 68 501 05;Gemeinde;Zernitz-Lohm;16845;Zernitz-Lohm;12 0 68 000 05;Neustadt (Dosse)
12 0 69 018 02;Gemeinde;Beetzsee;14778;Beetzsee;12 0 69 000 02;Beetzsee
12 0 69 019 02;Gemeinde;Beetzseeheide;14778;Beetzseeheide;12 0 69 000 02;Beetzsee
12 0 69 028 17;Gemeinde;Bensdorf;14789;Bensdorf;12 0 69 000 17;Wusterwitz
12 0 69 052 04;Gemeinde;Borkheide;14822;Borkheide;12 0 69 000 04;Brück
12 0 69 056 04;Gemeinde;Borkwalde;14822;Borkwalde;12 0 69 000 04;Brück
12 0 69 076 04;Stadt;Brück;14822;Brück;12 0 69 000 04;Brück
12 0 69 089 18;Gemeinde;Buckautal;14793;Buckautal;12 0 69 000 18;Ziesar
12 0 69 216 04;Gemeinde;Golzow;14778;Golzow;12 0 69 000 04;Brück
12 0 69 224 18;Gemeinde;Görzke;14828;Görzke;12 0 69 000 18;Ziesar
12 0 69 232 18;Gemeinde;Gräben;14793;Gräben;12 0 69 000 18;Ziesar
12 0 69 270 02;Stadt;Havelsee;14798;Havelsee;12 0 69 000 02;Beetzsee
12 0 69 345 04;Gemeinde;Linthe;14822;Linthe;12 0 69 000 04;Brück
12 0 69 402 10;Gemeinde;Mühlenfließ;14822;Mühlenfließ;12 0 69 000 10;Niemegk
12 0 69 448 10;Stadt;Niemegk;14823;Niemegk;12 0 69 000 10;Niemegk
12 0 69 460 02;Gemeinde;Päwesin;14778;Päwesin;12 0 69 000 02;Beetzsee
12 0 69 470 04;Gemeinde;Planebruch;14822;Planebruch;12 0 69 000 04;Brück
12 0 69 474 10;Gemeinde;Planetal;14806;Planetal;12 0 69 000 10;Niemegk
12 0 69 485 10;Gemeinde;Rabenstein/Fläming;14823;Rabenstein/Fläming;12 0 69 000 10;Niemegk
12 0 69 537 17;Gemeinde;Rosenau;14789;Rosenau;12 0 69 000 17;Wusterwitz
12 0 69 541 02;Gemeinde;Roskow;14778;Roskow;12 0 69 000 02;Beetzsee
12 0 69 648 18;Gemeinde;Wenzlow;14778;Wenzlow;12 0 69 000 18;Ziesar
12 0 69 680 18;Gemeinde;Wollin;14778;Wollin;12 0 69 000 18;Ziesar
12 0 69 688 17;Gemeinde;Wusterwitz;14789;Wusterwitz;12 0 69 000 17;Wusterwitz
12 0 69 696 18;Stadt;Ziesar;14793;Ziesar;12 0 69 000 18;Ziesar
12 0 70 008 01;Stadt;Bad Wilsnack;19336;Bad Wilsnack;12 0 70 000 01;Bad Wilsnack/Weisen
12 0 70 028 09;Gemeinde;Berge;19348;Berge;12 0 70 000 09;Putlitz-Berge
12 0 70 052 01;Gemeinde;Breese;19322;Breese;12 0 70 000 01;Bad Wilsnack/Weisen
12 0 70 060 05;Gemeinde;Cumlosen;19322;Cumlosen;12 0 70 000 05;Lenzen-Elbtalaue
12 0 70 096 06;Gemeinde;Gerdshagen;16928;Gerdshagen;12 0 70 000 06;Meyenburg
12 0 70 145 09;Gemeinde;Gülitz-Reetz;19348;Gülitz-Reetz;12 0 70 000 09;Putlitz-Berge
12 0 70 153 06;Gemeinde;Halenbeck-Rohlsdorf;16945;Halenbeck-Rohlsdorf;12 0 70 000 06;Meyenburg
12 0 70 222 06;Gemeinde;Kümmernitztal;16945;Kümmernitztal;12 0 70 000 06;Meyenburg
12 0 70 236 05;Gemeinde;Lanz;19309;Lanz;12 0 70 000 05;Lenzen-Elbtalaue
12 0 70 241 01;Gemeinde;Legde/Quitzöbel;19336;Legde/Quitzöbel;12 0 70 000 01;Bad Wilsnack/Weisen
